id,ISSN-L,ISSNs,PublisherId,Journal_Title
0,2056-9890,2056-9890,1,Acta Crystallographica Section E Crystallographic Communications
1,2077-0472,2077-0472,2,Agriculture
2,2073-4395,2073-4395,2,Agronomy
3,2076-2615,2076-2615,2,Animals
4,2076-3417,2076-3417,2,Applied Sciences
5,2306-5354,2306-5354,2,Bioengineering
6,2079-7737,2079-7737,2,Biology
7,2079-6374,2079-6374,2,Biosensors
8,2075-5309,2075-5309,2,Buildings
9,2072-6694,2072-6694,2,Cancers
10,2073-4344,2073-4344,2,Catalysts
11,2078-1547,2078-1547,2,Challenges
12,2304-6767,2304-6767,2,Dentistry Journal
13,2075-4418,2075-4418,2,Diagnostics
14,1099-4300,1099-4300,2,Entropy
15,0367-0449,0367-0449|1988-3250,3,Estudios Geológicos
16,1999-4907,1999-4907,2,Forests
17,2073-4425,2073-4425,2,Genes
18,2076-0787,2076-0787,2,Humanities
19,2306-5338,2306-5338,2,Hydrology
20,2304-6740,2304-6740,2,Inorganics
21,1660-4601,1660-4601,2,International Journal of Environmental Research and Public Health
22,1422-0067,1422-0067,2,International Journal of Molecular Sciences
23,2220-9964,2220-9964,2,ISPRS International Journal of Geo-Information
24,2250-1177,2250-1177,4,Journal of Drug Delivery and Therapeutics
25,2278-4748,2278-4748|2278-4802,5,Journal of Evolution of Medical and Dental Sciences
26,2079-9268,2079-9268,2,Journal of Low Power Electronics and Applications
27,2075-4442,2075-4442,2,Lubricants
28,2075-1702,2075-1702,2,Machines
29,1660-3397,1660-3397,2,Marine Drugs
30,1996-1944,1996-1944,2,Materials
31,2077-0375,2077-0375,2,Membranes
32,2075-4701,2075-4701,2,Metals
33,2076-3905,2076-3905,2,Microarrays
34,2075-163X,2075-163X,2,Minerals
35,1420-3049,1420-3049,2,Molecules
36,2072-6643,2072-6643,2,Nutrients
37,2073-4360,2073-4360,2,Polymers
38,2227-9717,2227-9717,2,Processes
39,2077-1444,2077-1444,2,Religions
40,2072-4292,2072-4292,2,Remote Sensing
41,1424-8220,1424-8220,2,Sensors
42,2071-1050,2071-1050,2,Sustainability
43,2073-8994,2073-8994,2,Symmetry
44,2079-8954,2079-8954,2,Systems
45,2067-2764,2067-2764|2247-6202,6,Theory and Applications of Mathematics & Computer Science
46,2305-6304,2305-6304,2,Toxics
47,2072-6651,2072-6651,2,Toxins
48,2076-393X,2076-393X,2,Vaccines
49,1999-4915,1999-4915,2,Viruses
50,2073-4441,2073-4441,2,Water
